"카테고리","대표질문","유사질문","검증샘플","의도","답변"
"모바일","[쇼킹스폰서 위약금 및 잔여기간 이월] 기본형에서 스마트스폰서로 변경하는 경우는 어떻게 되나요?","","[쇼킹스폰서 위약금 및 잔여기간 이월] 기본형에서 스마트스폰서로 변경하는 경우는 어떻게 되나요?","쇼킹스폰서","※ 기본형 계열 : 기본형, 결합형, 골드형 플러스※ 골드형 계열 : 골드형, 고급형, 알뜰형, i-형, 제휴형 기본형 계열 → 스마트스폰서로 기기변경하는 경우는 다음과 같이 적용됩니다.구분상세내용적용사항 * 1차 쇼킹스폰서 기본형의 잔여기간은 스마트스폰서 24개월 되는 시점에    1차 기본형의 잔여기간이 이월됨"
"모바일","[쇼킹스폰서 위약금 및 잔여기간 이월] 골드형에서 스마트스폰서로 변경할 경우는 어떻게 되나요?","","[쇼킹스폰서 위약금 및 잔여기간 이월] 골드형에서 스마트스폰서로 변경할 경우는 어떻게 되나요?","쇼킹스폰서","※ 기본형 계열 : 기본형, 결합형, 골드형 플러스※ 골드형 계열 : 골드형, 고급형, 알뜰형, i-형, 제휴형 골드형 계열 → 스마트스폰서로 기기변경하는 경우는 다음과 같이 적용됩니다.구분상세내용적용사항 * 1차 골드형 할인은 2차 스마트스폰서와 함께 지속 제공하고, 스마트스폰서    24개월되는 시점에 골드형의 잔여약정기간이 적용※ 단, 1차 골드형 단말기 할인만 지원되고 요금할인은 미지원 됨※ 요금할인은 2차 가입 요금제 기준으로 적용"
"모바일","[쇼킹스폰서 위약금 및 잔여기간 이월] 위약금 이월 사용중인데 승계기변 가능 한가요?","","[쇼킹스폰서 위약금 및 잔여기간 이월] 위약금 이월 사용중인데 승계기변 가능 한가요?","쇼킹스폰서","쇼킹 위약금 이월과 승계기변은 동시 적용 불가합니다."
"모바일","[포인트 스폰서] 스마트폰인데 이용방법이 어떻게 되나요?","","[포인트 스폰서] 스마트폰인데 이용방법이 어떻게 되나요?","쇼킹스폰서","스마트폰에서 모바일/웹 포인트 스폰서 이용방법은 다음과 같습니다. ① 이용안내    ㅇ 신규개통/기기변경 하려는 고객 본인의 핸드폰으로 직접 ARS로 포인트 조회합니다.    ㅇ 조회결과를 SMS로 발송받지 못하는 경우나, 전송받은 조회 결과를 SMS로 확인이         불가능한 경우, 모바일/웹 포인트스폰서 접속 후 ARS로 포인트 조회 한 내역으로         인증번호를 발급받습니다.    ㅇ 기존 프로세스와 동일하게 대리점에서 개통을 진행합니다.     ※ 조회 결과 SMS발송 받지 못하거나 확인이 불가능한 경우       - 아이폰 또는 스마트폰인 경우       - 액정고장 및 무선인터넷 접속이 되지 않는 핸드폰 기종인 경우 ② 모바일/웹 포인트스폰서 접속 방법    ㅇ 모바일/웹 포인트스폰서 URL: http://k.pointpark.com    ㅇ 모바일 또는 웹페이지에서 바로 접속/이용 가능 ③ 이용방법    ㅇ 1단계 : 포인트조회 및 모바일/웹 포인트스폰서 접속    ㅇ 2단계 : ARS조회값 확인 및 이용약관 보기    ㅇ 3단계 : 인증번호 확인 및 발급"
"모바일","[포인트 스폰서] 전에 받은 인증번호 다시 사용이 가능한가요?","","[포인트 스폰서] 전에 받은 인증번호 다시 사용이 가능한가요?","쇼킹스폰서","포인트 스폰서 취소 후 7일 이내 기존 인증번호 재사용 가능합니다."
"모바일","[포인트 스폰서] 취소나 환불 가능한가요?","","[포인트 스폰서] 취소나 환불 가능한가요?","쇼킹스폰서","포인트 스폰서의 취소 및 환불 관련 기준은 다음과 같습니다. ㅇ 제휴사 포인트 취소/환불 - 영업일 기준 7일이후 진행됩니다.    * 포인트 스폰서로 통합된 제휴사 포인트 환불은 KT의 포인트 취소 요청 기준      영업일 7일간의 재사용 유예기간 이후 진행됩니다.     (최장 : 유예기간 7일 + 환불기간 7일) ㅇ 각 제휴사로의 환불이 시작되면 인증번호 재사용 불가 합니다. (취소 7일 이후)    * 기 인증번호 사용은 불가능 하며, 신규 인증번호를 발급받아야 합니다.      ARS 조회가 이전 취소했던 사용가능 포인트보다 적게 조회되면 포인트파크      고객센터로 문의해주세요. ㅇ 인증번호 미 사용 시 취소/환불 가능 합니다.     * 발급받은 인증번호를 포인트 스폰서 미사용 시 취소/환불 가능합니다.        포인트파크 고객센터로 문의해주세요. (취소 소요시간 최장 7일) ㅇ 포인트 환불은 다시 포인트로 제공됩니다. ※ 포인트파크    * 홈페이지 : www.pointpark.com    * 고객센터 : ☎ 02-521-5665"
"모바일","olleh 모바일 데이터완전자유 카드 이용시 제공 혜택 및 조건은 어떻게 되나요?","","olleh 모바일 데이터완전자유 카드 이용시 제공 혜택 및 조건은 어떻게 되나요?","데이터상품","*olleh 모바일 데이터완전자유 카드 발급/사용(20만원 이상) *olleh 모바일 데이터완전자유 서비스 유지(월말기준) *olleh 모바일 데이터완전자유 카드 납부방법으로 등록 위 3가지 조건 유지시 월 데이터월정액이 2개월간 무료 제공되며 3개월차부터는 카드 사용 조건부 차등 지원됩니다. 카드 사용 조건은 다음과 같습니다. * 카드 발급 이후 최초 2개월간 카드 사용 조건 없음* olleh 모바일 데이터완전자유 서비스 가입월과 해지월에는 요금지원 없음* 카드사용 20만원 이상시 : 10,000원 지원* 카드사용 20만원 미달시 : 4,000원 지원"
"모바일","olleh WiFi AP는 어떻게 받을수 있으며, 설치 시 별도 요금 부담이 있나요?","","olleh WiFi AP는 어떻게 받을수 있으며, 설치 시 별도 요금 부담이 있나요?","olleh WiFi Call","핸드폰을 개통 시 대리점에서 AP 신청 요청을 하게되면 설치 기사님이 방문하여 자택에 설치하게 됩니다. 이 때 별도 설치비용 및 임대료는 없습니다"
"모바일","서울에서 지방으로 이사할 경우 olleh WiFi AP 이전은 어떻게해야 하나요?","","서울에서 지방으로 이사할 경우 olleh WiFi AP 이전은 어떻게해야 하나요?","olleh WiFi Call","olleh WiFi AP 는 고객님이 직접 떼어와야 하며, 이전 설치시 철거비용은 없으나 설치비용이 1만원 부과됩니다.만약,olleh WiFi AP를 떼어오지 않을경우, AP 설치비용 1만원과 olleh WiFi AP비용 27,870원/VAT별도 부과됩니다"
"모바일","olleh AP에 olleh WiFi 기능이 추가되지 않은 경우 어떻게 해야 하나요?(무선랜 리스트에 NESPOT 신호가 안잡히는 경우)","","olleh AP에 olleh WiFi 기능이 추가되지 않은 경우 어떻게 해야 하나요?(무선랜 리스트에 NESPOT 신호가 안잡히는 경우)","olleh WiFi Call TIP","olleh AP 설치기사를 바로 연락토록 하여 olleh WiFi 설정 가이드 또는 기사 출동하시어 olleh WiFi 설정 및 정상접속 확인해야 합니다. olleh WiFi 모드가 지원되는 olleh AP의 경우에만 가능하며, 그중 SSID olleh WiFi 으로 접속하셔야 합니다. olleh WiFi zone이 아니라도 항상 리스트에 olleh WiFi가 보이므로 안테나를 항상 확인해 보시기 바랍니다."
"모바일","기존에 이용하고 있던 070번호를 olleh 폰 개통 시 함께 이용할 수 있나요?","","기존에 이용하고 있던 070번호를 olleh 폰 개통 시 함께 이용할 수 있나요?","olleh WiFi Call","올레폰 070번호/010번호 부여받는 번호는 모두 신규번호로만 가능합니다. 기존에 사용하던 070 번호를 부여할 수는 없습니다."
"모바일","olleh WiFi AP 암호화란 의미가 뭔가요?","","olleh WiFi AP 암호화란 의미가 뭔가요?","olleh WiFi Call","우리 KT의 인터넷전화 단말은 WPA(WiFi protected access)를 통해서 암호화하고 WPA는 WEP보다 더 높은 보안성을 가지고 있는 국제공인 무선랜 암호화방식이 적용되어 있습니다 네트워크 접근시 높은 차단을 하기 때문에 안심하도록 안내해 주시고, 무선공유기(QOOK HUB나 QOOKAP)를 사용한다고 언급하거나 전산상 확인되면 암호를 생성하여 사용하도록 안내 바랍니다. 참고로 Qook AP의 web key는 인터넷사용을 위한 보안 key입니다. 통화는 WPA로 보호되고 있으므로 안전하게 잘 보호되고 되는 부분을 말합니다."
"모바일","olleh AP가 불량일 경우 처리 방법은 어떻게 되나요?","","olleh AP가 불량일 경우 처리 방법은 어떻게 되나요?","olleh WiFi Call TIP","임대장비이기??문에 100-3 으로 as접수하면 가능합니다."
"모바일","타사의 인터넷을 이용할 경우에도 olleh WiFi AP를 이용할 수 있나요?","","타사의 인터넷을 이용할 경우에도 olleh WiFi AP를 이용할 수 있나요?","olleh WiFi Call","네. olleh  인터넷을 이용하지 않아도 olleh WiFi AP를 통해 olleh WiFi Call 이용하실 수 있습니다."
"모바일","유무선합산 납부는 무엇인가요?","","유무선합산 납부는 무엇인가요?","요금관련","집전화 명세서에 핸드폰 사용요금이 합산청구 되어 납부 처리되는 제도입니다. 신청방법은, 모바일 상품 고객센터로 전화신청 또는 대리점 , olleh plaza로 방문하여 신청 하시면 됩니다.또한, 올레닷컴 내 마이올레에서 변경하시면 됩니다."
